,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2015 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
ES,SPAIN,VANDELLOS-2,"El Baix Camp, Tarragona",Operational,1087,2941,82.2,81.7,40.95139,0.86667,97.3,PRIS,Map
ES,SPAIN,SANTA MARIA DE GARONA,"Las Merindades, Burgos",Long-term Shutdown,466,1381,77.5,0,42.7753,-3.2072917,633.3,PRIS,Map
ES,SPAIN,VANDELLOS-1,"El Baix Camp, Tarragona",Permanent Shutdown,500,1670,70.4,0,40.95139,0.86667,97.3,PRIS,Map
ES,SPAIN,ALMARAZ-1,"Aranuelo, Cáceres",Operational,1049,2947,85.8,95.3,39.80806,-5.69694,315.4,PRIS,Map
ES,SPAIN,ALMARAZ-2,"Aranuelo, Cáceres",Operational,1044,2947,87.2,86.6,39.80806,-5.69694,315.4,PRIS,Map
ES,SPAIN,ASCO-1,"La Ribera dEbre, Tarragona",Operational,1033,2954,83.9,81.4,41.2,0.56944,96.5,PRIS,Map
ES,SPAIN,ASCO-2,"La Ribera dEbre, Tarragona",Operational,1035,2941,85.7,78.3,41.2,0.56944,96.5,PRIS,Map
FI,FINLAND,LOVIISA-1,Loviisa,Operational,520,1500,87.4,92.7,60.37222,26.34722,15.7,PRIS,Map
FI,FINLAND,LOVIISA-2,Loviisa,Operational,520,1500,89.1,93,60.37222,26.34722,15.7,PRIS,Map
FI,FINLAND,OLKILUOTO-1,Eurajoki,Operational,910,2500,92.6,96,61.23694,21.44083,20.9,PRIS,Map
FI,FINLAND,OLKILUOTO-2,Eurajoki,Operational,910,2500,93.3,89,61.23694,21.44083,20.9,PRIS,Map
FR,FRANCE,G-3 (MARCOULE),Gard,Permanent Shutdown,43,260,75.1,0,44.14333,4.70944,99.5,PRIS,Map
FR,FRANCE,PHENIX,"Maricopa County, AZ",Permanent Shutdown,142,345,40.5,0,33.38917,-112.865,258.9,PRIS,Map
FR,FRANCE,FESSENHEIM-1,Haut-Rhin,Operational,920,2785,68.5,93.3,47.9031083,7.5630444,252.1,PRIS,Map
FR,FRANCE,FESSENHEIM-2,Haut-Rhin,Operational,920,2785,69.1,73.6,47.9031083,7.5630444,252.1,PRIS,Map
FR,FRANCE,BUGEY-2,Ain,Operational,945,2785,68.8,91.7,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,BUGEY-3,Ain,Operational,945,2785,66.1,83.5,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,BUGEY-4,Ain,Operational,917,2785,69.3,82.2,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,BUGEY-5,Ain,Operational,917,2785,70,63.7,45.79833,5.27083,249.7,PRIS,Map
FR,FRANCE,ST. LAURENT B-1,Loir-et-Cher,Operational,956,2785,72.7,55.9,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,TRICASTIN-1,Drome,Operational,955,2785,73.2,71.8,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,TRICASTIN-2,Drome,Operational,955,2785,72.7,77.7,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,G-2 (MARCOULE),Gard,Permanent Shutdown,43,260,0,0,44.14333,4.70944,99.5,PRIS,Map
FR,FRANCE,CHINON A-1,Indre-et-Loire,Permanent Shutdown,80,300,0,0,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,GRAVELINES-1,Nord,Operational,951,2785,70.1,69.9,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,GRAVELINES-2,Nord,Operational,951,2785,73.2,65.4,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,DAMPIERRE-1,Loiret,Operational,937,2785,72.2,77.4,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,ST. LAURENT B-2,Loir-et-Cher,Operational,956,2785,70.9,76.5,47.72,1.5775,130.4,PRIS,Map
FR,FRANCE,SUPER-PHENIX,Isere,Permanent Shutdown,1242,3000,7.9,0,45.75833,5.47222,270.8,PRIS,Map
FR,FRANCE,TRICASTIN-3,Drome,Operational,955,2785,75.6,89.6,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,TRICASTIN-4,Drome,Operational,955,2785,74.5,81.6,44.32972,4.73222,105.1,PRIS,Map
FR,FRANCE,GRAVELINES-3,Nord,Operational,951,2785,73.7,85.8,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,GRAVELINES-4,Nord,Operational,951,2785,75.4,81.2,51.01528,2.13611,45.0,PRIS,Map
FR,FRANCE,DAMPIERRE-2,Loiret,Operational,937,2785,70.8,82.1,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,CHINON A-2,Indre-et-Loire,Permanent Shutdown,230,800,71.1,0,47.2325,0.1703,80.4,PRIS,Map
FR,FRANCE,DAMPIERRE-3,Loiret,Operational,937,2785,73.9,81.8,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,DAMPIERRE-4,Loiret,Operational,937,2785,71.9,86.6,47.73306,2.51667,177.6,PRIS,Map
FR,FRANCE,BLAYAIS-1,Gironde,Operational,951,2785,72.7,86.2,45.25583,-0.69306,49.5,PRIS,Map
FR,FRANCE,BLAYAIS-2,Gironde,Operational,951,2785,76.4,78.8,45.25583,-0.69306,49.5,PRIS,Map
FR,FRANCE,BLAYAIS-3,Gironde,Operational,951,2785,75.7,27.8,45.25583,-0.69306,49.5,PRIS,Map
