,Country,Sitename,Location,Status,Gross (MWe),Capacity (MWt),Mean LF (%),2015 LF (%),lat (-90 to 90),lng (-180 to 180),alt (m),,
RU,RUSSIA,ROSTOV-1,"g. Volgodonsk, Rostovskaya oblast",Operational,1000,3200,90,86.8,47.5993417,42.3718778,48.7,PRIS,Map
RU,RUSSIA,BELOYARSK-2,"g. Zarechnyy, Sverdlovskaya oblast",Permanent Shutdown,160,530,0,0,56.84167,61.3225,210.2,PRIS,Map
RU,RUSSIA,ROSTOV-2,"g. Volgodonsk, Rostovskaya oblast",Operational,1000,3200,91.3,93,47.5993417,42.3718778,48.7,PRIS,Map
RU,RUSSIA,ROSTOV-3,"g. Volgodonsk, Rostovskaya oblast",Operational,1100,3000,0,0,47.5993417,42.3718778,48.7,PRIS,Map
RU,RUSSIA,ROSTOV-4,"g. Volgodonsk, Rostovskaya oblast",Under Construction,1070,3000,0,0,47.5993417,42.3718778,48.7,PRIS,Map
RU,RUSSIA,SMOLENSK-3,"Roslavlsky District, Smolensk Oblast",Operational,1000,3200,79.7,85.1,54.1691611,33.2466361,225.5,PRIS,Map
RU,RUSSIA,NOVOVORONEZH-2,"g. Novovoronezh, Voronezhskaya oblast",Permanent Shutdown,365,1320,0,0,51.275,39.2,122.6,PRIS,Map
RU,RUSSIA,NOVOVORONEZH-3,"g. Novovoronezh, Voronezhskaya oblast",Operational,417,1375,71.3,91,51.275,39.2,122.6,PRIS,Map
RU,RUSSIA,BALAKOVO-1,"Balakovsky District, Saratov Oblast",Operational,1000,3000,69.3,84.2,52.09111,47.95528,30.9,PRIS,Map
RU,RUSSIA,BALAKOVO-2,"Balakovsky District, Saratov Oblast",Operational,1000,3000,70.4,78.1,52.09111,47.95528,30.9,PRIS,Map
RU,RUSSIA,BALAKOVO-3,"Balakovsky District, Saratov Oblast",Operational,1000,3000,74.2,93.1,52.09111,47.95528,30.9,PRIS,Map
RU,RUSSIA,BALAKOVO-4,"Balakovsky District, Saratov Oblast",Operational,1000,3200,79.1,86.6,52.09111,47.95528,30.9,PRIS,Map
SE,SWEDEN,AGESTA,Huddinge,Permanent Shutdown,12,80,0,0,59.2060222,18.0828722,82.5,PRIS,Map
SE,SWEDEN,RINGHALS-4,Varberg,Operational,1181,3300,80,78.9,57.25972,12.11083,31.9,PRIS,Map
SE,SWEDEN,FORSMARK-2,Östhammar,Operational,1158,3253,80.5,91.1,60.40333,18.16667,35.6,PRIS,Map
SE,SWEDEN,OSKARSHAMN-3,Oskarshamn,Operational,1450,3900,77.5,78.8,57.41556,16.67111,31.4,PRIS,Map
SE,SWEDEN,FORSMARK-3,Östhammar,Operational,1203,3300,83.8,55.4,60.40333,18.16667,35.6,PRIS,Map
SE,SWEDEN,OSKARSHAMN-1,Oskarshamn,Operational,492,1375,60.4,60.1,57.41556,16.67111,31.4,PRIS,Map
SE,SWEDEN,OSKARSHAMN-2,Oskarshamn,Operational,661,1800,71.4,0,57.41556,16.67111,31.4,PRIS,Map
SE,SWEDEN,RINGHALS-1,Varberg,Operational,910,2540,67.5,74.8,57.25972,12.11083,31.9,PRIS,Map
SE,SWEDEN,RINGHALS-2,Varberg,Operational,847,2500,65.8,0,57.25972,12.11083,31.9,PRIS,Map
SE,SWEDEN,BARSEBACK-1,Kävlinge,Permanent Shutdown,615,1800,74.5,0,55.74444,12.92083,29.8,PRIS,Map
SE,SWEDEN,RINGHALS-3,Varberg,Operational,1117,3135,76.4,83.3,57.25972,12.11083,31.9,PRIS,Map
SE,SWEDEN,BARSEBACK-2,Kävlinge,Permanent Shutdown,615,1800,74.9,0,55.74444,12.92083,29.8,PRIS,Map
SE,SWEDEN,FORSMARK-1,Östhammar,Operational,1022,2928,82,76.2,60.40333,18.16667,35.6,PRIS,Map
SI,SLOVENIA,KRSKO,Municipality of Krško,Operational,727,1994,84.5,89.1,45.93833,15.51556,297.0,PRIS,Map
SK,SLOVAKIA,BOHUNICE A1,Hlohovec District,Permanent Shutdown,143,560,26.2,0,48.49444,17.68194,217.4,PRIS,Map
SK,SLOVAKIA,MOCHOVCE-3,Levice,Under Construction,471,1375,0,0,48.26389,18.45694,271.2,PRIS,Map
SK,SLOVAKIA,MOCHOVCE-4,Levice,Under Construction,471,1375,0,0,48.26389,18.45694,271.2,PRIS,Map
SK,SLOVAKIA,BOHUNICE-3,Hlohovec District,Operational,505,1471,78.6,82.1,48.49444,17.68194,217.4,PRIS,Map
SK,SLOVAKIA,BOHUNICE-4,Hlohovec District,Operational,505,1471,80.2,89.6,48.49444,17.68194,217.4,PRIS,Map
SK,SLOVAKIA,BOHUNICE-1,Hlohovec District,Permanent Shutdown,440,1375,72,0,48.49444,17.68194,217.4,PRIS,Map
SK,SLOVAKIA,BOHUNICE-2,Hlohovec District,Permanent Shutdown,440,1375,74.9,0,48.49444,17.68194,217.4,PRIS,Map
SK,SLOVAKIA,MOCHOVCE-1,Levice,Operational,470,1471,84.6,90,48.26389,18.45694,271.2,PRIS,Map
SK,SLOVAKIA,MOCHOVCE-2,Levice,Operational,470,1471,83.8,93.2,48.26389,18.45694,271.2,PRIS,Map
TW,TAIWAN,CHINSHAN-1,"Shimen District, New Taipei City",Operational,636,1840,79.9,0,25.28583,121.58611,88.9,PRIS,Map
TW,TAIWAN,CHINSHAN-2,"Shimen District, New Taipei City",Operational,636,1840,84.2,92,25.28583,121.58611,88.9,PRIS,Map
TW,TAIWAN,KUOSHENG-1,"Shimen District, New Taipei City",Operational,1020,2894,83.4,87.8,25.28583,121.58611,88.9,PRIS,Map
TW,TAIWAN,KUOSHENG-2,"Shimen District, New Taipei City",Operational,1020,2894,83.9,99.3,25.28583,121.58611,88.9,PRIS,Map
TW,TAIWAN,MAANSHAN-1,"Hengchun, Hengchun Township, Pingtung County",Operational,951,2822,86.8,91.4,21.95833,120.75139,25.3,PRIS,Map
TW,TAIWAN,MAANSHAN-2,"Hengchun, Hengchun Township, Pingtung County",Operational,951,2822,86.9,80.8,21.95833,120.75139,25.3,PRIS,Map
TW,TAIWAN,LUNGMEN 1,"Shimen District, New Taipei City",Under Construction,1350,3926,0,0,25.28583,121.58611,88.9,PRIS,Map
TW,TAIWAN,LUNGMEN 2,"Shimen District, New Taipei City",Under Construction,1350,3926,0,0,25.28583,121.58611,88.9,PRIS,Map
UA,UKRAINE,ZAPOROZHYE-5,"Enerhodarska city council, Zaporizka oblast",Operational,1000,3000,74.6,71.2,47.51222,34.58583,38.9,PRIS,Map
UA,UKRAINE,ZAPOROZHYE-6,"Enerhodarska city council, Zaporizka oblast",Operational,1000,3000,78.6,80.6,47.51222,34.58583,38.9,PRIS,Map
UA,UKRAINE,CHERNOBYL-1,"Ivankivskyi district, Kyivska oblast",Permanent Shutdown,800,3200,64.2,0,51.38972,30.09917,139.5,PRIS,Map
UA,UKRAINE,CHERNOBYL-2,"Ivankivskyi district, Kyivska oblast",Permanent Shutdown,1000,3200,0,0,51.38972,30.09917,139.5,PRIS,Map
UA,UKRAINE,ROVNO-1,"Kuznetsovska city council, Rivnenska oblast",Operational,420,1375,75.4,88.1,51.32778,25.89167,198.8,PRIS,Map
UA,UKRAINE,ROVNO-2,"Kuznetsovska city council, Rivnenska oblast",Operational,415,1375,77,66.6,51.32778,25.89167,217.4,PRIS,Map
UA,UKRAINE,ROVNO-3,"Kuznetsovska city council, Rivnenska oblast",Operational,1000,3000,67.6,66.6,51.32778,25.89167,217.4,PRIS,Map
UA,UKRAINE,KHMELNITSKI-1,"Netishynska city council, Khmelnytska oblast",Operational,1000,3000,73.5,42.7,50.3014056,26.64975,241.0,PRIS,Map
UA,UKRAINE,KHMELNITSKI-2,"Netishynska city council, Khmelnytska oblast",Operational,1000,3000,76.5,81.4,50.3014056,26.64975,241.0,PRIS,Map
UA,UKRAINE,CHERNOBYL-3,"Ivankivskyi district, Kyivska oblast",Permanent Shutdown,1000,3200,63.8,0,51.38972,30.09917,132.7,PRIS,Map
UA,UKRAINE,CHERNOBYL-4,"Ivankivskyi district, Kyivska oblast",Permanent Shutdown,1000,3200,0,0,51.38972,30.09917,132.7,PRIS,Map
UA,UKRAINE,SOUTH UKRAINE-1,"Yuzhnoukrainska city council, Mykolaivska oblast",Operational,1000,3000,65.5,77.2,47.81667,31.21667,135.3,PRIS,Map
UA,UKRAINE,SOUTH UKRAINE-2,"Yuzhnoukrainska city council, Mykolaivska oblast",Operational,1000,3000,65.4,73.9,47.81667,31.21667,135.3,PRIS,Map
UA,UKRAINE,SOUTH UKRAINE-3,"Yuzhnoukrainska city council, Mykolaivska oblast",Operational,1000,3000,67.6,71,47.81667,31.21667,135.3,PRIS,Map
UA,UKRAINE,KHMELNITSKI-3,"Netishynska city council, Khmelnytska oblast",Under Construction,1000,3200,0,0,50.3014056,26.64975,241.0,PRIS,Map
UA,UKRAINE,KHMELNITSKI-4,"Netishynska city council, Khmelnytska oblast",Under Construction,1000,3200,0,0,50.3014056,26.64975,241.0,PRIS,Map
UA,UKRAINE,ZAPOROZHYE-1,"Enerhodarska city council, Zaporizka oblast",Operational,1000,3000,65,68,47.51222,34.58583,43.5,PRIS,Map
UA,UKRAINE,ZAPOROZHYE-2,"Enerhodarska city council, Zaporizka oblast",Operational,1000,3000,68,75.8,47.51222,34.58583,43.5,PRIS,Map
UA,UKRAINE,ROVNO-4,"Kuznetsovska city council, Rivnenska oblast",Operational,1000,3000,65.4,74.2,51.32778,25.89167,217.4,PRIS,Map
UA,UKRAINE,ZAPOROZHYE-3,"Enerhodarska city council, Zaporizka oblast",Operational,1000,3000,69.9,75.5,47.51222,34.58583,43.5,PRIS,Map
UA,UKRAINE,ZAPOROZHYE-4,"Enerhodarska city council, Zaporizka oblast",Operational,1000,3000,73.3,79.1,47.51222,34.58583,43.5,PRIS,Map
US,UNITED STATES,ELK RIVER,"Sherburne County, MN",Permanent Shutdown,24,58,0,0,45.295172,-93.5567,245.1,PRIS,Map
US,UNITED STATES,DRESDEN-1,"Goose Lake Township, IL",Permanent Shutdown,207,700,0,0,41.38972,-88.26806,132.4,PRIS,Map
US,UNITED STATES,PATHFINDER,"Brandon Township, SD",Permanent Shutdown,63,220,0,0,43.60361,-96.6375,403.4,PRIS,Map
US,UNITED STATES,HUMBOLDT BAY,"Humboldt County, CA",Permanent Shutdown,65,220,0,0,40.7413222,-124.2090444,-26.2,PRIS,Map
US,UNITED STATES,CVTR,"Fairfield County, SC",Permanent Shutdown,19,65,0,0,34.2625,-81.32917,59.0,PRIS,Map
US,UNITED STATES,BIG ROCK POINT,"Hayes Township, MI",Permanent Shutdown,71,240,64.1,0,45.35889,-85.19722,148.4,PRIS,Map
US,UNITED STATES,FERMI-1,"Frenchtown Charter Twp, MI",Permanent Shutdown,65,200,0,0,41.96278,-83.2575,137.5,PRIS,Map
US,UNITED STATES,PEACH BOTTOM-1,"Peach Bottom Township, PA",Permanent Shutdown,42,115,0,0,39.75833,-76.26806,37.8,PRIS,Map
US,UNITED STATES,SAN ONOFRE-1,"San Diego County, CA",Permanent Shutdown,456,1347,53.2,0,33.36889,-117.555,-15.7,PRIS,Map
US,UNITED STATES,HADDAM NECK,"Middlesex County, CT",Permanent Shutdown,603,1825,73.5,0,41.48194,-72.49917,-5.9,PRIS,Map
US,UNITED STATES,OYSTER CREEK,"Ocean County, NJ",Operational,652,1930,73.2,97.3,39.81472,-74.205,-27.6,PRIS,Map
US,UNITED STATES,NINE MILE POINT-1,"Scriba, NY",Operational,642,1850,72.7,91.3,43.52083,-76.40694,35.9,PRIS,Map
US,UNITED STATES,DRESDEN-2,"Goose Lake Township, IL",Operational,950,2957,72,94,41.38972,-88.26806,132.4,PRIS,Map
US,UNITED STATES,GINNA,"Ontario, NY",Operational,608,1775,83.9,93.9,43.27778,-77.31,43.0,PRIS,Map
US,UNITED STATES,MILLSTONE-1,"Waterford, CT",Permanent Shutdown,684,2011,65.1,0,41.31194,-72.16861,-33.1,PRIS,Map
US,UNITED STATES,INDIAN POINT-2,"Cortlandt Manor, NY",Operational,1067,3216,74.5,98.4,41.26972,-73.95222,-13.5,PRIS,Map
US,UNITED STATES,DRESDEN-3,"Goose Lake Township, IL",Operational,935,2957,72.1,101.7,41.38972,-88.26806,132.4,PRIS,Map
US,UNITED STATES,TURKEY POINT-3,"Miami-Dade County, FL",Operational,829,2644,76.3,85.4,25.43417,-80.33056,-27.2,PRIS,Map
US,UNITED STATES,TURKEY POINT-4,"Miami-Dade County, FL",Operational,829,2644,76.6,100.3,25.43417,-80.33056,-27.2,PRIS,Map
US,UNITED STATES,QUAD CITIES-1,"Cordova Township, IL",Operational,940,2957,76.1,94.5,41.72639,-90.31,147.2,PRIS,Map
US,UNITED STATES,PALISADES,"Covert Township, MI",Operational,850,2565,69.4,89.6,42.32278,-86.31444,178.8,PRIS,Map
US,UNITED STATES,BROWNS FERRY-1,"Limestone County, AL",Operational,1155,3458,70.7,98,34.70389,-87.11861,148.9,PRIS,Map
US,UNITED STATES,BROWNS FERRY-2,"Limestone County, AL",Operational,1155,3458,78.4,88.8,34.70389,-87.11861,148.9,PRIS,Map
US,UNITED STATES,ROBINSON-2,"Darlington County, SC",Operational,780,2339,77.8,88.2,34.40278,-80.15833,39.1,PRIS,Map
US,UNITED STATES,MONTICELLO,"Wright County, MN",Operational,691,2004,80,82.3,45.33361,-93.84917,262.3,PRIS,Map
US,UNITED STATES,QUAD CITIES-2,"Cordova Township, IL",Operational,940,2957,74.9,100.8,41.72639,-90.31,147.2,PRIS,Map
US,UNITED STATES,POINT BEACH-1,"Two Creeks, WI",Operational,640,1800,80.7,100.3,44.28111,-87.53667,142.7,PRIS,Map
US,UNITED STATES,FORT ST. VRAIN,"Weld County, CO",Permanent Shutdown,342,842,15.2,0,40.24444,-104.87417,1447.8,PRIS,Map
US,UNITED STATES,OCONEE-1,"Oconee County, SC",Operational,891,2568,78.7,100.4,34.79389,-82.89806,229.6,PRIS,Map
US,UNITED STATES,OCONEE-2,"Oconee County, SC",Operational,891,2568,81.3,93.6,34.79389,-82.89806,229.6,PRIS,Map
US,UNITED STATES,VERMONT YANKEE,"Windham County, VT",Permanent Shutdown,635,1912,83.9,96.5,42.77889,-72.51306,47.9,PRIS,Map
US,UNITED STATES,SALEM-1,"Lower Alloways Creek, NJ",Operational,1254,3459,69.1,95.5,39.46278,-75.53556,-34.3,PRIS,Map
US,UNITED STATES,DIABLO CANYON-1,"San Luis Obispo County, CA",Operational,1197,3411,86.3,88.2,35.21083,-120.85611,60.0,PRIS,Map
US,UNITED STATES,PEACH BOTTOM-2,"Peach Bottom Township, PA",Operational,1412,3951,75.4,99.7,39.75833,-76.26806,37.8,PRIS,Map
US,UNITED STATES,PEACH BOTTOM-3,"Peach Bottom Township, PA",Operational,1412,3951,76.3,90.2,39.75833,-76.26806,37.8,PRIS,Map
US,UNITED STATES,SURRY-1,"Bacons Castle, VA",Operational,890,2587,76.3,77.2,37.16556,-76.69778,-35.3,PRIS,Map
US,UNITED STATES,SURRY-2,"Bacons Castle, VA",Operational,890,2587,76.6,83.4,37.16556,-76.69778,-35.3,PRIS,Map
US,UNITED STATES,PRAIRIE ISLAND-1,"Goodhue County, MN",Operational,566,1677,85.7,87.3,44.62167,-92.63306,186.9,PRIS,Map
US,UNITED STATES,FORT CALHOUN-1,"2, NE",Operational,512,1500,72.6,83.5,41.52028,-96.07722,288.6,PRIS,Map
US,UNITED STATES,INDIAN POINT-3,"Cortlandt Manor, NY",Operational,1085,3216,70.3,83.3,41.26972,-73.95222,-13.5,PRIS,Map
US,UNITED STATES,OCONEE-3,"Oconee County, SC",Operational,900,2568,81.3,100.4,34.79389,-82.89806,229.6,PRIS,Map
US,UNITED STATES,THREE MILE ISLAND-1,"Londonderry Township, PA",Operational,880,2568,76.2,92,40.15389,-76.72472,53.0,PRIS,Map
US,UNITED STATES,YANKEE NPS,"Franklin County, MA",Permanent Shutdown,180,600,71.7,0,42.7278389,-72.9291083,387.3,PRIS,Map
US,UNITED STATES,PILGRIM-1,"Plymouth County, MA",Operational,711,2028,69.8,84.2,41.945,-70.5783,-24.2,PRIS,Map
US,UNITED STATES,ZION-1,"Zion Township, IL",Permanent Shutdown,1085,3250,57.4,0,42.446428,-87.803003,143.1,PRIS,Map
US,UNITED STATES,BROWNS FERRY-3,"Limestone County, AL",Operational,1155,3458,81.3,99.4,34.70389,-87.11861,148.9,PRIS,Map
US,UNITED STATES,COOPER,"Nemaha, NE",Operational,801,2419,74.4,101,40.36194,-95.64139,254.1,PRIS,Map
US,UNITED STATES,INDIAN POINT-1,"Cortlandt Manor, NY",Permanent Shutdown,277,615,0,0,41.26972,-73.95222,-13.5,PRIS,Map
US,UNITED STATES,POINT BEACH-2,"Two Creeks, WI",Operational,640,1800,83.5,93.1,44.28111,-87.53667,142.7,PRIS,Map
US,UNITED STATES,CRYSTAL RIVER-3,"Citrus County, FL",Permanent Shutdown,890,2568,64.5,0,28.9575,-82.69833,-27.8,PRIS,Map
US,UNITED STATES,ZION-2,"Zion Township, IL",Permanent Shutdown,1085,3250,59.2,0,42.446428,-87.803003,143.1,PRIS,Map
US,UNITED STATES,KEWAUNEE,"Carlton, WI",Permanent Shutdown,595,1772,84,0,44.34222,-87.53611,147.4,PRIS,Map
US,UNITED STATES,PRAIRIE ISLAND-2,"Goodhue County, MN",Operational,560,1677,87.2,74.6,44.62167,-92.63306,186.9,PRIS,Map
US,UNITED STATES,MAINE YANKEE,"Lincoln County, ME",Permanent Shutdown,900,2630,68.2,0,43.9517583,-69.6962278,-16.0,PRIS,Map
US,UNITED STATES,SALEM-2,"Lower Alloways Creek, NJ",Operational,1200,3459,70.4,87.7,39.46278,-75.53556,-34.3,PRIS,Map
US,UNITED STATES,RANCHO SECO-1,"Sacramento County, CA",Permanent Shutdown,917,2772,40,0,38.34528,-121.12167,22.2,PRIS,Map
US,UNITED STATES,ANO-1,"Clark Township, AR",Operational,903,2568,77,89.2,35.31028,-93.23139,74.4,PRIS,Map
US,UNITED STATES,COOK-1,"Berrien County, MI",Operational,1100,3304,68.3,85.4,41.975391,-86.565914,141.6,PRIS,Map
US,UNITED STATES,COOK-2,"Berrien County, MI",Operational,1151,3468,69.8,89.7,41.975391,-86.565914,141.6,PRIS,Map
US,UNITED STATES,CALVERT CLIFFS-1,"1, Solomons Island, MD",Operational,918,2737,80.9,102.5,38.43194,-76.44222,-18.8,PRIS,Map
US,UNITED STATES,CALVERT CLIFFS-2,"1, Solomons Island, MD",Operational,911,2737,83.2,92.4,38.43194,-76.44222,-18.8,PRIS,Map
US,UNITED STATES,THREE MILE ISLAND-2,"Londonderry Township, PA",Permanent Shutdown,959,2772,69.3,0,40.153293,-76.72534,52.4,PRIS,Map
US,UNITED STATES,HATCH-1,"Appling County, GA",Operational,911,2804,80.2,98.6,31.93417,-82.34389,-2.1,PRIS,Map
US,UNITED STATES,SHOREHAM,"Brookhaven, NY",Permanent Shutdown,849,2436,0,0,40.96111,-72.865,-13.8,PRIS,Map
US,UNITED STATES,DIABLO CANYON-2,"San Luis Obispo County, CA",Operational,1197,3411,87.4,99.6,35.21083,-120.85611,60.0,PRIS,Map
US,UNITED STATES,BRUNSWICK-2,"Smithville, NC",Operational,960,2923,72.9,88.1,33.95833,-78.01028,-32.5,PRIS,Map
US,UNITED STATES,BRUNSWICK-1,"Smithville, NC",Operational,990,2923,75.4,99.7,33.95833,-78.01028,-32.5,PRIS,Map
US,UNITED STATES,SEQUOYAH-1,"Hamilton County, TN",Operational,1221,3455,73.4,77,35.22639,-85.09167,205.9,PRIS,Map
US,UNITED STATES,SEQUOYAH-2,"Hamilton County, TN",Operational,1200,3455,76,88.7,35.22639,-85.09167,205.9,PRIS,Map
US,UNITED STATES,DUANE ARNOLD-1,"Fayette, IA",Operational,624,1912,77.4,99.6,42.10056,-91.77722,220.5,PRIS,Map
US,UNITED STATES,FITZPATRICK,"Scriba, NY",Operational,849,2536,76.9,103.7,43.5233,-76.3983,37.7,PRIS,Map
US,UNITED STATES,BEAVER VALLEY-1,"Beaver County, PA",Operational,959,2900,73.4,90.3,40.62333,-80.43056,241.6,PRIS,Map
US,UNITED STATES,ST. LUCIE-1,"St Lucie County, FL",Operational,1045,3020,82.4,91.1,27.34861,-80.24639,-32.4,PRIS,Map
US,UNITED STATES,MILLSTONE-2,"Waterford, CT",Operational,918,2700,68.8,89,41.31194,-72.16861,-33.1,PRIS,Map
US,UNITED STATES,NORTH ANNA-1,"Cuckoo, VA",Operational,990,2940,81.4,93.8,38.06056,-77.78944,57.8,PRIS,Map
US,UNITED STATES,NORTH ANNA-2,"Cuckoo, VA",Operational,1011,2940,84.4,102.7,38.06056,-77.78944,57.8,PRIS,Map
US,UNITED STATES,FERMI-2,"Frenchtown Charter Twp, MI",Operational,1198,3486,75.2,74.7,41.96278,-83.2575,137.5,PRIS,Map
US,UNITED STATES,TROJAN,"Columbia County, OR",Permanent Shutdown,1155,3411,53.6,0,46.03833,-122.885,49.7,PRIS,Map
US,UNITED STATES,DAVIS BESSE-1,"Carroll Township, OH",Operational,925,2817,69.6,100.8,41.59667,-83.08639,137.2,PRIS,Map
US,UNITED STATES,FARLEY-1,"Houston County, AL",Operational,918,2775,83.5,87.3,31.22306,-85.11167,32.6,PRIS,Map
US,UNITED STATES,LIMERICK-1,"Limerick, PA",Operational,1194,3515,88.6,101.4,40.22667,-75.58722,25.6,PRIS,Map
US,UNITED STATES,LIMERICK-2,"Limerick, PA",Operational,1194,3515,92.4,89.9,40.22667,-75.58722,25.6,PRIS,Map
US,UNITED STATES,HOPE CREEK-1,"Lower Alloways Creek, NJ",Operational,1240,3840,86.2,92,39.46778,-75.53806,-34.1,PRIS,Map
US,UNITED STATES,SAN ONOFRE-2,"San Diego County, CA",Permanent Shutdown,1127,3438,78,0,33.36889,-117.555,-15.7,PRIS,Map
US,UNITED STATES,SAN ONOFRE-3,"San Diego County, CA",Permanent Shutdown,1127,3438,77.5,0,33.36889,-117.555,-15.7,PRIS,Map
US,UNITED STATES,FARLEY-2,"Houston County, AL",Operational,928,2775,86.7,98.3,31.22306,-85.11167,45.0,PRIS,Map
US,UNITED STATES,HATCH-2,"Appling County, GA",Operational,921,2804,80.8,89.6,31.93417,-82.34389,14.9,PRIS,Map
US,UNITED STATES,ANO-2,"Clark Township, AR",Operational,1065,3026,84.5,84.3,35.31028,-93.23139,106.0,PRIS,Map
US,UNITED STATES,MCGUIRE-1,"10, Lemley, NC",Operational,1215,3411,80,100.3,35.4325,-80.94833,183.7,PRIS,Map
US,UNITED STATES,MCGUIRE-2,"10, Lemley, NC",Operational,1215,3411,85.3,92.1,35.4325,-80.94833,183.7,PRIS,Map
US,UNITED STATES,LASALLE-1,"Brookfield Township, IL",Operational,1207,3546,78.3,101.9,41.24556,-88.66917,170.5,PRIS,Map
US,UNITED STATES,LASALLE-2,"Brookfield Township, IL",Operational,1207,3546,78.1,85.4,41.24556,-88.66917,170.5,PRIS,Map
US,UNITED STATES,WATERFORD-3,"1, LA",Operational,1250,3716,86.9,82.2,29.99528,-90.47111,-26.0,PRIS,Map
US,UNITED STATES,SUSQUEHANNA-1,"Salem Township, PA",Operational,1330,3952,83.1,99.1,41.08889,-76.14889,256.1,PRIS,Map
US,UNITED STATES,SUSQUEHANNA-2,"Salem Township, PA",Operational,1330,3952,86.2,88.2,41.08889,-76.14889,256.1,PRIS,Map
US,UNITED STATES,ST. LUCIE-2,"St Lucie County, FL",Operational,1050,3020,84.5,83.8,27.34861,-80.24639,-31.7,PRIS,Map
US,UNITED STATES,WATTS BAR-1,"Rhea County, TN",Operational,1210,3459,90,85.9,35.60278,-84.78944,222.5,PRIS,Map
US,UNITED STATES,WATTS BAR-2,"Rhea County, TN",Under Construction,1218,3425,0,0,35.60278,-84.78944,222.5,PRIS,Map
US,UNITED STATES,SUMMER-1,"Fairfield County, SC",Operational,1006,2900,83.4,83.6,34.29861,-81.31472,88.4,PRIS,Map
US,UNITED STATES,COLUMBIA,"Benton County, WA",Operational,1190,3486,74.1,84.2,46.47111,-119.33389,112.0,PRIS,Map
US,UNITED STATES,BONUS,"Puntas, Rincón 00602",Permanent Shutdown,18,50,0,0,18.36639,-67.26861,-216.8,PRIS,Map
US,UNITED STATES,HARRIS-1,"Buckhorn, NC",Operational,960,2900,88.4,89.5,35.6333,-78.955,48.6,PRIS,Map
US,UNITED STATES,LACROSSE,"Vernon County, WI",Permanent Shutdown,55,165,51,0,43.560062,-91.231485,159.7,PRIS,Map
US,UNITED STATES,NINE MILE POINT-2,"Scriba, NY",Operational,1320,3988,83.3,99,43.52083,-76.40694,35.0,PRIS,Map
US,UNITED STATES,BEAVER VALLEY-2,"Beaver County, PA",Operational,958,2900,85.2,91.6,40.62333,-80.43056,265.4,PRIS,Map
US,UNITED STATES,CATAWBA-1,"York County, SC",Operational,1188,3411,85,92.5,35.0517,-81.07,167.9,PRIS,Map
US,UNITED STATES,CATAWBA-2,"York County, SC",Operational,1188,3411,86.2,90.6,35.0517,-81.07,167.9,PRIS,Map
US,UNITED STATES,GRAND GULF-1,"Claiborne County, MS",Operational,1500,4408,86.6,94.3,32.0067,-91.0483,28.4,PRIS,Map
US,UNITED STATES,MILLSTONE-3,"Waterford, CT",Operational,1280,3650,77.9,99.2,41.31194,-72.16861,-27.9,PRIS,Map
US,UNITED STATES,VOGTLE-1,"Burke County, GA",Operational,1229,3626,90.8,91.5,33.14333,-81.76056,35.2,PRIS,Map
US,UNITED STATES,VOGTLE-2,"Burke County, GA",Operational,1229,3626,91,100.5,33.14333,-81.76056,35.2,PRIS,Map
US,UNITED STATES,PERRY-1,"Perry Township, OH",Operational,1303,3758,80,86.2,41.80083,-81.14333,150.8,PRIS,Map
US,UNITED STATES,SEABROOK-1,"Rockingham County, NH",Operational,1296,3648,86,86.9,42.89889,-70.85083,-21.5,PRIS,Map
US,UNITED STATES,COMANCHE PEAK-1,"Somervell County, TX",Operational,1259,3612,87.1,100.4,32.2983,-97.785,214.6,PRIS,Map
US,UNITED STATES,COMANCHE PEAK-2,"Somervell County, TX",Operational,1250,3612,89.9,88.8,32.2983,-97.785,214.6,PRIS,Map
US,UNITED STATES,BYRON-1,"Rockvale Township, IL",Operational,1242,3645,86.2,92.7,42.07417,-89.28194,194.8,PRIS,Map
US,UNITED STATES,BYRON-2,"Rockvale Township, IL",Operational,1210,3645,89.7,100.6,42.07417,-89.28194,194.8,PRIS,Map
US,UNITED STATES,BRAIDWOOD-1,"Reed Township, IL",Operational,1270,3645,88.1,95.6,41.24361,-88.22917,144.2,PRIS,Map
US,UNITED STATES,BRAIDWOOD-2,"Reed Township, IL",Operational,1230,3645,89.9,95.6,41.24361,-88.22917,144.2,PRIS,Map
US,UNITED STATES,RIVER BEND-1,"2, LA",Operational,1016,3091,81.8,81.9,30.7567,-91.333,4.6,PRIS,Map
US,UNITED STATES,CLINTON-1,"Harp Township, IL",Operational,1098,3473,77.4,86.7,40.17222,-88.835,179.7,PRIS,Map
US,UNITED STATES,WOLF CREEK,"Hampden, KS",Operational,1285,3565,84.6,82.3,38.23889,-95.68889,304.0,PRIS,Map
US,UNITED STATES,CALLAWAY-1,"Auxvasse Township, MO",Operational,1275,3565,88,98.1,38.7617,-91.78,200.4,PRIS,Map
US,UNITED STATES,SOUTH TEXAS-1,"Matagorda County, TX",Operational,1354,3853,82.9,83.2,28.79556,-96.04889,-20.4,PRIS,Map
US,UNITED STATES,SOUTH TEXAS-2,"Matagorda County, TX",Operational,1354,3853,82.2,90.6,28.79556,-96.04889,-20.4,PRIS,Map
US,UNITED STATES,PALO VERDE-1,"Maricopa County, AZ",Operational,1414,3990,79,101,33.38917,-112.865,260.9,PRIS,Map
US,UNITED STATES,PALO VERDE-2,"Maricopa County, AZ",Operational,1414,3990,82.7,90.4,33.38917,-112.865,260.9,PRIS,Map
